"Species","Agriculture","Forestry","Fisheries","Health","ispathogen"
"Trapa natans",NA,NA,"Negative","Positive and negative","Y"
"Tridax procumbens",NA,NA,NA,NA,"N"
"Eriosoma lanigerum",NA,NA,NA,NA,"Y"
"Erionota thrax","Negative",NA,NA,NA,"N"
"Erionota torus","Negative",NA,NA,NA,"N"
"Erodium cicutarium",NA,NA,NA,NA,"N"
"Calacarus carinatus",NA,NA,NA,NA,"N"
"Eleusine indica","Negative","Negative",NA,NA,"Y"
"Cornu aspersum","Negative",NA,NA,"Positive","Y"
"Helicotylenchus multicinctus","exclude","exclude","exclude","exclude","exclude"
"Raffaelea lauricola","Negative","Negative",NA,NA,"Y"
"Polyphagotarsonemus latus",NA,NA,NA,NA,"Y"
"Lawsonia inermis",NA,NA,NA,"Negative","Y"
"Candidatus Liberibacter solanacearum","exclude","exclude","exclude","exclude","exclude"
"Eucheuma spp.",NA,NA,"Positive, Positive","Positive","N"
"Pinctada imbricata radiata",NA,NA,NA,NA,"N"
"Eucalyptus camaldulensis",NA,"None","None, None","None","Y"
"Eucalyptus cladocalyx","Negative","None","None, None","None","Y"
"Crepidula fornicata",NA,NA,"Negative",NA,"N"
"Impatiens balsamina",NA,NA,NA,NA,"N"
"Impatiens glandulifera",NA,"Negative",NA,NA,"Y"
"Impatiens parviflora",NA,"Negative","None, None","None","Y"
"Candidatus Phytoplasma solani","exclude","exclude","exclude","exclude","exclude"
"Ipomoea aquatica","Negative","None","Negative, Negative","Negative","Y"
"Ipomoea carnea subsp. fistulosa","Negative",NA,NA,NA,"N"
"Fragaria vesca",NA,NA,NA,"Positive","N"
"Euphorbia esula","Negative","Negative","None, None","Negative","N"
"Frankliniella occidentalis","Negative","None","None, None","None","Y"
"Euphorbia hirta",NA,NA,NA,NA,"N"
"Euphorbia tirucalli","Negative",NA,NA,"Negative","N"
"Homalodisca vitripennis",NA,NA,"None, None","None","N"
"Thlaspi arvense",NA,NA,NA,NA,"N"
"Euonymus fortunei",NA,NA,NA,NA,"N"
"Euonymus japonicus",NA,NA,NA,"Negative","N"
"Ageratina adenophora","Negative","None","None, None","None","N"
"Chromolaena odorata","Negative","Negative","None, None","None","Y"
"Duranta erecta","Negative",NA,NA,"Negative","N"
"Halogeton glomeratus","Negative",NA,NA,NA,"N"
"Blumeria graminis",NA,NA,NA,NA,"Y"
"Gibberella circinata",NA,NA,NA,NA,"Y"
"Gibberella xylarioides",NA,NA,NA,NA,"Y"
"Hyoscyamus niger","Negative",NA,NA,"Negative","Y"
"Hypericum perforatum","Negative",NA,"Negative",NA,"Y"
"Heterodera cajani","exclude","exclude","exclude","exclude","exclude"
"Heterodera glycines","exclude","exclude","exclude","exclude","exclude"
"Heterodera goettingiana","exclude","exclude","exclude","exclude","exclude"
"Globodera pallida","exclude","exclude","exclude","exclude","exclude"
"Globodera rostochiensis","exclude","exclude","exclude","exclude","exclude"
"Globodera tabacum","exclude","exclude","exclude","exclude","exclude"
"Heterobasidion annosum",NA,NA,NA,NA,"Y"
"Heterobasidion annosum sensu lato",NA,NA,NA,NA,"Y"
"Heterobasidion parviporum",NA,NA,NA,NA,"Y"
"Micropterus dolomieu",NA,NA,"Negative",NA,"N"
"Micropterus salmoides",NA,NA,"Negative","None","N"
"Lates niloticus",NA,NA,NA,"Positive and negative","N"
"lumpy skin disease",NA,NA,NA,NA,"N"
"Lumbricus rubellus",NA,"Negative",NA,NA,"N"
"koi herpesvirus disease",NA,NA,"Negative, Negative",NA,"N"
"Osteopilus septentrionalis",NA,NA,NA,"Negative","N"
"Perca flavescens",NA,NA,NA,NA,"N"
"Neogobius melanostomus",NA,NA,"Negative","Negative","N"
"Perna viridis",NA,NA,"Positive, Positive","Negative","N"
"American foul brood",NA,NA,NA,NA,"Y"
"Caladium bicolor",NA,NA,NA,"Positive and negative","N"
"Euphorbia tithymaloides","Negative",NA,NA,"Negative","N"
"Bythotrephes longimanus",NA,NA,NA,NA,"N"
"Plantago lanceolata","Negative","None","None, None","Negative","Y"
"Plantago major","Negative","None","None, None","Positive","Y"
"Pseudomonas cichorii","exclude","exclude","exclude","exclude","exclude"
"Planococcus kenyae",NA,NA,NA,NA,"N"
"Phaseolus lunatus",NA,NA,NA,NA,"N"
"Alternanthera bettzickiana",NA,NA,NA,"Positive","Y"
"Capsicum baccatum",NA,NA,NA,NA,"N"
"Digitaria bicornis","Negative",NA,NA,NA,"N"
"Senna bacillaris",NA,NA,NA,NA,"N"
"Solanum erianthum",NA,NA,NA,"Negative","N"
"Tithonia rotundifolia","Negative",NA,NA,NA,"N"
"Zinnia peruviana","Negative",NA,NA,NA,"N"
"Aristolochia elegans","Negative",NA,NA,"Negative","N"
"Rastrococcus invadens",NA,"None","None, None","Negative","N"
"Rattus norvegicus","Negative",NA,NA,"Negative","N"
"Phthorimaea operculella",NA,NA,NA,NA,"N"
"Rattus rattus","Negative","Negative","Negative","Negative","N"
"Rattus exulans",NA,NA,NA,NA,"N"
"Sicyos angulatus","Negative",NA,NA,NA,"N"
"Sida acuta","Negative",NA,NA,"Positive","Y"
"Pseudodiaptomus marinus",NA,NA,NA,NA,"N"
"Bactericera cockerelli","Negative",NA,NA,"Negative","Y"
"Pineus pini",NA,"Negative","None, None","None","N"
"Paranthrene tabaniformis",NA,NA,NA,NA,"N"
"Piper aduncum","Negative",NA,NA,NA,"N"
"Piper auritum",NA,NA,NA,NA,"N"
"Rhizophora mangle",NA,NA,NA,NA,"Y"
"Prosopis glandulosa","Negative","None","None, None","Negative","Y"
"Prosopis pallida","Negative","None","None, None","None","N"
"Prosopis ruscifolia","Negative","Positive","None, None","None","N"
"Prosopis velutina","Negative","None","None, None","Negative","N"
"Chionaspis pinifoliae",NA,NA,NA,NA,"Y"
"Pheidole megacephala",NA,"None","None, None","None","Y"
"Maconellicoccus hirsutus",NA,"Negative","None, None","None","N"
"Phenacoccus manihoti",NA,"None","None, None","Negative","Y"
"Scyphophorus acupunctatus",NA,NA,NA,NA,"Y"
"Sesbania grandiflora",NA,NA,NA,NA,"N"
"Sesbania punicea","Negative","None","None, None","None","N"
"Sesbania sesban",NA,NA,NA,"Positive and negative","N"
"Seiridium cardinale",NA,"Negative, Negative","None, None, None, None","None, None","Y"
"Saissetia oleae",NA,NA,NA,NA,"N"
"Psidium cattleianum",NA,"Negative","None, None","Positive","N"
"Phyllostachys aureosulcata","Negative","Negative",NA,"Negative","N"
"Psidium guajava","Negative","Negative","None, None","None","Y"
"Phyllostachys aurea",NA,"Negative",NA,"Negative","N"
"Psittacula krameri","Negative",NA,NA,"Negative","N"
"Sambucus nigra","Negative","Negative","None, None","None","N"
"Rhagoletis cingulata","Negative",NA,NA,NA,"Y"
"Rhagoletis pomonella","Negative",NA,NA,NA,"N"
"Rhinocyllus conicus",NA,NA,NA,NA,"N"
"avian influenza",NA,NA,NA,NA,"N"
"avian mycoplasmosis (Mycoplasma gallisepticum)",NA,NA,NA,NA,"N"
"bovine spongiform encephalopathy",NA,NA,NA,NA,"N"
"Branta canadensis","Negative",NA,NA,"Negative","N"
"Aedes albopictus","Negative",NA,NA,"Negative","N"
"Aristichthys nobilis",NA,NA,"Positive, Positive","Positive","N"
"Callosciurus finlaysonii",NA,"Negative",NA,NA,"N"
"Belonesox belizanus",NA,NA,NA,"Negative","N"
"Aphanomyces astaci","Negative",NA,"Negative",NA,"Y"
"African horse sickness",NA,NA,NA,NA,"N"
"African swine fever",NA,NA,NA,NA,"N"
"Cecropia peltata",NA,"Negative","None, None","None","N"
"Cedrela odorata",NA,NA,NA,NA,"N"
"Caesalpinia pulcherrima",NA,NA,NA,NA,"N"
"Caesalpinia decapetala","Negative","Negative","None, None","None","N"
"Cucumber green mottle mosaic virus","exclude","exclude","exclude","exclude","exclude"
"Chenopodiastrum murale",NA,NA,NA,NA,"Y"
"Capsicum annuum",NA,NA,NA,NA,"Y"
"Didymascella thujina",NA,"Negative, Negative","None, None, None, None","None, None","Y"
"Carposina sasakii","Negative",NA,NA,NA,"Y"
"Cenchrus ciliaris",NA,NA,NA,NA,"N"
"Cassia fistula",NA,NA,NA,NA,"Y"
"Cassia grandis",NA,NA,NA,"Positive and negative","N"
"Cassia javanica",NA,NA,NA,"Positive","N"
"Senna occidentalis","Negative","None",NA,"Positive and negative","Y"
"Senna siamea",NA,NA,NA,NA,"N"
"Senna spectabilis","Negative",NA,NA,NA,"N"
"Cytisus scoparius","Negative","Negative","None, None","None","Y"
"Dactylis glomerata",NA,NA,NA,NA,"N"
"Cynoglossum officinale","Negative","None","None, None","Negative","N"
"Cassytha filiformis","Negative","Negative",NA,"Negative","N"
"Castilla elastica",NA,NA,NA,NA,"N"
"Dacus ciliatus","Negative",NA,NA,NA,"N"
"Bactrocera cucurbitae","Negative",NA,NA,"Negative","Y"
"Bactrocera dorsalis","Negative","None","None, None","None","N"
"Coniothyrium glycines","Negative",NA,NA,NA,"Y"
"Bactrocera oleae",NA,NA,NA,NA,"N"
"Bactrocera tryoni","Negative",NA,NA,NA,"N"
"Bactrocera zonata","Negative",NA,NA,"Negative","N"
"Leucanthemum vulgare","Negative",NA,NA,NA,"Y"
"Sternochetus mangiferae","Negative",NA,NA,NA,"N"
"Tanacetum vulgare","Negative","None","None, None","None","Y"
"Cryptotermes brevis",NA,NA,NA,NA,"N"
"Chrysomphalus dictyospermi",NA,NA,NA,NA,"Y"
"Chrysomphalus aonidum",NA,NA,NA,NA,"Y"
"Crassula helmsii",NA,NA,"Negative","Negative","N"
"Crataegus monogyna",NA,NA,NA,NA,"N"
"Ceratocystis fimbriata",NA,"Negative","None, None","None","Y"
"Ceratocystis platani",NA,"Negative",NA,NA,"Y"
"Ophiostoma ulmi",NA,"Negative","None, None","None","Y"
"Dendrocalamus strictus",NA,NA,NA,NA,"Y"
"Conyza bonariensis","Negative","None","None, None","None","Y"
"Conyza canadensis","Negative","None","None, None","None","N"
"Conyza sumatrensis","Negative","None","None, None","None","N"
"Pseudocercospora angolensis","Negative",NA,NA,NA,"Y"
"Dendroctonus frontalis",NA,NA,NA,NA,"Y"
"Coptotermes",NA,NA,NA,NA,"N"
"Dendroctonus micans",NA,NA,NA,NA,"Y"
"Dendroctonus ponderosae",NA,NA,NA,NA,"N"
"Coptotermes curvignathus",NA,"Negative, Negative","None, None, None, None","None, None","Y"
"Coptotermes formosanus",NA,"None","None, None","None","Y"
"Dendroctonus valens",NA,"None, None","None, None, None, None","None, None","Y"
"Calliandra houstoniana var. calothyrsus",NA,NA,NA,NA,"Y"
"Cupressus sempervirens",NA,NA,NA,NA,"N"
"Cuscuta campestris","Negative",NA,NA,NA,"Y"
"Cuscuta europaea","Negative","None","None, None","None","N"
"Cuscuta epithymum","Negative","None","None, None","None","Y"
"Cuscuta japonica","Negative","Negative",NA,NA,"Y"
"Cleome rutidosperma","Negative",NA,NA,NA,"N"
"Cleome viscosa","Negative",NA,NA,"Positive and negative","N"
"Calopogonium mucunoides","Negative",NA,NA,NA,"N"
"Grapevine yellows phytoplasmas","exclude","exclude","exclude","exclude","exclude"
"Dinoderus minutus",NA,"None, None","None, None, None, None","None, None","Y"
"Trifolium hybridum","Negative",NA,NA,NA,"N"
"Tridentiger trigonocephalus",NA,NA,NA,NA,"N"
"Scardinius erythrophthalmus",NA,NA,"Negative",NA,"N"
"Urosalpinx cinerea",NA,NA,"Negative",NA,"N"
"Rutilus rutilus",NA,NA,NA,NA,"N"
"viral haemorrhagic septicaemia",NA,NA,"Negative, Negative",NA,"N"
"Poecilia latipinna",NA,NA,NA,NA,"N"
"Poecilia reticulata",NA,NA,"Negative","Positive","N"
"Theba pisana","Negative",NA,NA,"Negative","N"
"Abutilon grandifolium",NA,NA,NA,NA,"N"
"Deparia petersenii subsp. petersenii",NA,NA,NA,NA,"N"
"Schismus arabicus",NA,NA,NA,NA,"Y"
"Dichanthium annulatum",NA,NA,NA,NA,"N"
"Schizoporella japonica",NA,NA,"Negative",NA,"N"
"Axonopus fissifolius","Negative",NA,NA,NA,"Y"
"Bacopa monnieri","Negative",NA,NA,"Positive","N"
"Nasturtium microphyllum",NA,NA,NA,NA,"Y"
"Neogobius fluviatilis",NA,NA,"Negative",NA,"N"
"Bemisia tabaci (MED)",NA,"None","None, None","None","Y"
"Neyraudia reynaudiana","Negative","Negative",NA,NA,"N"
"Trifolium angustifolium",NA,NA,NA,NA,"N"
"Glyceria declinata",NA,NA,NA,NA,"N"
"Ligustrum lucidum","Negative","Negative",NA,"Negative","N"
"Ligustrum obtusifolium",NA,NA,NA,NA,"N"
"Descurainia sophia","Negative",NA,NA,NA,"N"
"Dioscorea cayenensis",NA,NA,NA,"Negative","Y"
"Ligustrum robustum subsp. walkeri","Negative","None","None, None","None","Y"
"Ligustrum sinense",NA,"Negative",NA,"Negative","Y"
"Ligustrum vulgare","Negative",NA,NA,"Negative","Y"
"Hyptis suaveolens","Negative",NA,NA,NA,"Y"
"Leonotis nepetifolia","Negative","Negative",NA,"Positive","N"
"Lygodium microphyllum",NA,NA,NA,NA,"N"
"Macroptilium atropurpureum","Negative",NA,NA,NA,"N"
"Polycarpon tetraphyllum",NA,NA,NA,NA,"N"
"Neonotonia wightii",NA,NA,NA,NA,"N"
"Ocimum tenuiflorum",NA,NA,NA,"Negative","Y"
"Clematis terniflora",NA,NA,NA,"Positive","N"
"Microcyclus ulei",NA,"None","None, None","None","Y"
"Pomacea maculata","Negative",NA,NA,"Negative","N"
"Portulaca pilosa",NA,NA,NA,NA,"N"
"Maize streak virus","exclude","exclude","exclude","exclude","exclude"
"Aleurotrachelus atratus","Negative","Negative",NA,NA,"N"
"Nassella trichotoma","Negative","None","None, None","None","Y"
"Lepidium latifolium","Negative",NA,NA,NA,"N"
"Matsucoccus josephi",NA,"Negative, Negative","None, None, None, None","Negative, Negative","N"
"Passiflora foetida",NA,"None","None, None","None","N"
"Passiflora tripartita var. mollissima",NA,"Negative","None, None","None","Y"
"Passiflora suberosa","Negative","Negative",NA,"Positive","Y"
"Lepidium perfoliatum","Negative",NA,NA,"Positive","N"
"Alyssum desertorum","Negative",NA,NA,NA,"N"
"Falcataria moluccana",NA,NA,NA,NA,"Y"
"Amaranthus tricolor",NA,NA,NA,NA,"N"
"Mangifera indica",NA,NA,NA,"Positive and negative","N"
"Ehrharta calycina",NA,NA,NA,NA,"N"
"Ehrharta erecta",NA,NA,NA,NA,"N"
"Manilkara zapota",NA,NA,NA,NA,"N"
"Microlaena stipoides","Negative",NA,NA,NA,"N"
"Monomorium destructor",NA,NA,NA,NA,"N"
"Elephantopus mollis","Negative",NA,NA,NA,"N"
"Silene gallica",NA,NA,NA,NA,"N"
"Opogona sacchari",NA,NA,NA,NA,"N"
"Acer negundo",NA,"Negative","None, None","None","N"
"Acer platanoides",NA,"None","None, None","None","Y"
"Acer pseudoplatanus",NA,"Negative","None, None","None","Y"
"Acer rufinerve",NA,"Negative",NA,NA,"N"
"Lemna perpusilla",NA,NA,NA,NA,"N"
"Nomadacris septemfasciata",NA,NA,NA,NA,"Y"
"Atriplex argentea",NA,NA,NA,NA,"N"
"Cervus canadensis",NA,NA,NA,NA,"N"
"Cyperus meyenianus",NA,NA,NA,NA,"N"
"Lythrum maritimum",NA,NA,NA,NA,"N"
"Oxychilus alliarius",NA,NA,NA,NA,"N"
"Phaius tankervilleae",NA,NA,NA,NA,"Y"
"Setaria palmifolia","Negative","Negative",NA,NA,"Y"
"Mus musculus",NA,NA,NA,NA,"N"
"Myroxylon balsamum",NA,NA,NA,"Positive and negative","Y"
"Mycosphaerella fijiensis",NA,"None","Negative, Negative","Negative","Y"
"Ageratum conyzoides","Negative","Negative","None, None","Negative","Y"
"Ageratum houstonianum","Negative",NA,NA,"Positive","Y"
"Mikania micrantha","Negative","Negative","None, None","None","Y"
"Mikania scandens",NA,NA,NA,"Positive","Y"
"Acacia longifolia",NA,"Negative",NA,NA,"N"
"Acacia mangium",NA,NA,NA,NA,"N"
"Acacia mearnsii","Negative","Negative","None, None","None","N"
"Acacia melanoxylon","Negative","Positive","None, None","None","N"
"Banana streak disease","exclude","exclude","exclude","exclude","exclude"
"Anolis aeneus",NA,NA,NA,NA,"N"
"Batis maritima",NA,NA,NA,NA,"Y"
"Pastinaca sativa","Negative",NA,NA,"Negative","Y"
"Paysandisia archon","Negative",NA,NA,NA,"N"
"Alhagi maurorum","Negative","None","None, None","Positive","N"
"Alocasia macrorrhizos",NA,NA,NA,NA,"N"
"Didymella fabae","Negative",NA,NA,NA,"Y"
"Alectra vogelii","Negative","None","None, None","None","N"
"Didelphis marsupialis",NA,NA,NA,"Negative","N"
"Acrolepiopsis assectella",NA,NA,NA,NA,"N"
"Bixa orellana",NA,NA,NA,NA,"N"
"Culex quinquefasciatus","Negative",NA,NA,"Negative","Y"
"Aphis craccivora",NA,NA,NA,NA,"Y"
"Rusa marianna","Negative",NA,"Negative",NA,"Y"
"Axis axis","Negative","Negative",NA,"Negative","N"
"Cervus elaphus","Negative","Negative",NA,NA,"Y"
"Cervus nippon","Negative","Negative",NA,NA,"N"
"Cettia diphone",NA,NA,NA,NA,"N"
"Avena barbata",NA,NA,NA,NA,"Y"
"Avena fatua","Negative","None","None, None","None","Y"
"Avena sterilis","Negative","None","None, None","None","N"
"Felis catus",NA,NA,NA,NA,"N"
"Averrhoa carambola",NA,NA,NA,"Negative","N"
"Axonopus compressus",NA,NA,NA,NA,"N"
"Alysicarpus vaginalis",NA,NA,NA,NA,"N"
"Clupeonella cultriventris",NA,NA,NA,NA,"N"
"Cromileptes altivelis",NA,NA,"Negative","Negative","N"
"Heterotis niloticus",NA,NA,NA,"Positive","N"
"Corbicula fluminea","Negative",NA,NA,"Negative","N"
"Coregonus albula",NA,NA,NA,NA,"N"
"Gammarus tigrinus",NA,NA,"Negative",NA,"Y"
"Gambusia affinis",NA,NA,NA,"Positive","N"
"Gambusia holbrooki","Negative",NA,NA,NA,"N"
"Tibouchina urvilleana",NA,NA,NA,"Positive","N"
"Xanthomonas citri","exclude","exclude","exclude","exclude","exclude"
"Xanthomonas axonopodis pv. manihotis","exclude","exclude","exclude","exclude","exclude"
"Xanthomonas axonopodis pv. phaseoli","exclude","exclude","exclude","exclude","exclude"
"Xanthomonas axonopodis pv. vasculorum","exclude","exclude","exclude","exclude","exclude"
"Tagetes minuta",NA,NA,NA,NA,"Y"
"Uraba lugens",NA,"Negative",NA,"Negative","N"
"Urena lobata","Negative","Negative","None, None","None","N"
"Urochloa panicoides","Negative","None","None, None","None","N"
"Urocystis agropyri","Negative",NA,NA,NA,"Y"
"Sitotroga cerealella",NA,NA,NA,NA,"N"
"Tetranychus urticae",NA,"None","None, None","Negative","Y"
"whirling disease",NA,NA,NA,NA,"N"
"Tipula paludosa",NA,NA,NA,NA,"Y"
"Tithonia diversifolia","Negative","Negative",NA,NA,"N"
"Euwallacea fornicatus",NA,"Negative","None, None","None","Y"
"Xyleborus similis",NA,"Negative","None, None","None","Y"
"Xylella fastidiosa","exclude","exclude","exclude","exclude","exclude"
"Corynocarpus laevigatus",NA,NA,NA,"Positive and negative","N"
"Haematopota",NA,NA,NA,NA,"N"
"Chrysops",NA,NA,NA,NA,"N"
"Anaplasma centrale","exclude","exclude","exclude","exclude","exclude"
"Anaplasma mesaeterum","exclude","exclude","exclude","exclude","exclude"
"Daphnia",NA,NA,"Positive, Positive",NA,"N"
"Claviceps sorghicola","Negative",NA,NA,NA,"Y"
"Gerwasia variabilis",NA,NA,NA,"Negative","Y"
"Spartina anglica",NA,NA,"Negative",NA,"Y"
"Elm mottle virus","exclude","exclude","exclude","exclude","exclude"
"Epichoristodes acerbella",NA,NA,NA,NA,"N"
"Arkoola nigra","Negative",NA,NA,NA,"Y"
"Idioscopus nagpurensis",NA,NA,NA,NA,"Y"
"Hirschmanniella miticausa","exclude","exclude","exclude","exclude","exclude"
"Hakea gibbosa","Negative","None","None, None","None","N"
"Mycobacterium bovis","exclude","exclude","exclude","exclude","exclude"
"Mycoplasma gallisepticum","exclude","exclude","exclude","exclude","exclude"
"rinderpest virus","exclude","exclude","exclude","exclude","exclude"
"leptospirosis",NA,NA,NA,NA,"N"
"Pucciniastrum coryli",NA,NA,NA,"None","Y"
"Brucella melitensis","exclude","exclude","exclude","exclude","exclude"
"Brucella ovis","exclude","exclude","exclude","exclude","exclude"
"Trypanosoma","exclude","exclude","exclude","exclude","exclude"
"Asterias amurensis","Negative",NA,"Negative",NA,"N"
"Camelus dromedarius",NA,NA,NA,NA,"N"
"Campylobacter fetus subsp. venerealis","exclude","exclude","exclude","exclude","exclude"
"rabbit hemorrhagic disease virus","exclude","exclude","exclude","exclude","exclude"
"alcelaphine herpesvirus 1","exclude","exclude","exclude","exclude","exclude"
"Indian citrus ringspot virus","exclude","exclude","exclude","exclude","exclude"
"Candidula intersecta",NA,NA,NA,NA,"N"
"Varroa jacobsoni",NA,NA,NA,NA,"N"
"Venezuelan equine encephalitis",NA,NA,NA,NA,"N"
"vesicular stomatitis virus","exclude","exclude","exclude","exclude","exclude"
"Callisia fragrans",NA,NA,NA,NA,"N"
"Opuntia cochenillifera",NA,NA,NA,NA,"N"
"Moraea","Negative",NA,NA,"Negative","N"
"Moraea collina","Negative",NA,NA,"Negative","N"
"Moraea miniata","Negative",NA,NA,"Negative","N"
"Piper sarmentosum",NA,NA,NA,NA,"N"
"Bidens alba",NA,NA,NA,NA,"N"
"Mikania cordata",NA,NA,NA,NA,"N"
"Ludwigia octovalvis",NA,NA,NA,NA,"N"
"Montanoa hibiscifolia",NA,NA,NA,NA,"N"
"Paraergasilus longidigitus",NA,NA,NA,NA,"N"
"Passiflora subpeltata",NA,NA,NA,NA,"N"
"Artocarpus heterophyllus",NA,NA,NA,NA,"N"
"Solanum campylacanthum",NA,NA,NA,NA,"N"
"Helianthus annuus",NA,NA,NA,NA,"N"
"Percnon gibbesi",NA,NA,NA,NA,"N"
"Eulachnus rileyi",NA,NA,NA,NA,"N"
"Osmerus mordax",NA,NA,NA,NA,"N"
"Ostrea edulis",NA,NA,NA,NA,"N"
"Leucaspius delineatus",NA,NA,NA,NA,"N"
"Erechtites glomerata",NA,NA,NA,NA,"Y"
"Salvia occidentalis",NA,NA,NA,NA,"N"
"Phragmidium bulbosum",NA,NA,NA,"Negative","Y"
"Chelicorophium sowinskyi",NA,NA,NA,NA,"N"
"Pseudococcus elisae",NA,NA,NA,NA,"Y"
"Suid herpesvirus 1","exclude","exclude","exclude","exclude","exclude"
"Boophilus annulatus",NA,NA,NA,NA,"N"
"Boophilus microplus",NA,NA,NA,NA,"N"
"Boophilus decoloratus",NA,NA,NA,NA,"N"
"anchor worm disease",NA,NA,NA,NA,"Y"
"caprine arthritis encephalitis virus","exclude","exclude","exclude","exclude","exclude"
"Carpodacus mexicanus","Negative",NA,NA,NA,"N"
"glanders",NA,NA,NA,NA,"N"
"Callidiellum rufipenne",NA,NA,NA,NA,"N"
"Diaporthe helianthi",NA,NA,NA,NA,"Y"
"Cyperus imbricatus","Negative",NA,NA,NA,"N"
"Taura syndrome",NA,NA,NA,NA,"N"
"swine vesicular disease virus","exclude","exclude","exclude","exclude","exclude"
"White spot syndrome virus","exclude","exclude","exclude","exclude","exclude"
"Steatoda nobilis",NA,NA,NA,NA,"N"
"Chrysolina americana",NA,NA,NA,NA,"N"
"Notropis stramineus",NA,NA,NA,NA,"N"
"Nipaecoccus nipae",NA,NA,NA,NA,"N"
"Aeschynomene indica",NA,NA,NA,NA,"Y"
"Urochloa platyphylla","Negative",NA,NA,NA,"N"
"Francisella tularensis","exclude","exclude","exclude","exclude","exclude"
"Erythrocebus patas",NA,NA,NA,NA,"N"
"Reutealis trisperma",NA,NA,NA,NA,"N"
"Edwardsiella ictaluri","exclude","exclude","exclude","exclude","exclude"
"Umbra pygmaea",NA,NA,NA,NA,"N"
"Vincetoxicum nigrum","Negative","Negative","None, None","Negative","N"
"Trisetacus juniperinus",NA,NA,NA,NA,"N"
"Leishmania","exclude","exclude","exclude","exclude","exclude"
"Botrylloides perspicuus",NA,NA,"Negative",NA,"N"
"Soliva sessilis","Negative",NA,NA,"Negative","N"
"Agrius cingulatus",NA,NA,NA,NA,"N"
"Ips cembrae",NA,NA,NA,NA,"N"
"Ips duplicatus",NA,NA,NA,NA,"Y"
"Ips hauseri",NA,"Negative","None, None","None","N"
"Ips subelongatus",NA,"Negative","None, None","None","Y"
"Gossypium barbadense",NA,NA,NA,NA,"N"
"Fraxinus pennsylvanica",NA,NA,NA,NA,"N"
"Hibiscus trionum",NA,NA,NA,NA,"N"
"Palmaria palmata",NA,NA,NA,NA,"N"
"Hyalomma truncatum",NA,NA,NA,NA,"N"
"Allium neapolitanum",NA,NA,NA,NA,"N"
"Mangroves",NA,NA,NA,NA,"N"
"Gallid herpesvirus 2","exclude","exclude","exclude","exclude","exclude"
"Azolla cristata",NA,NA,NA,NA,"N"
"Duttaphrynus melanostictus",NA,NA,NA,NA,"N"
"Platypus quercivorus",NA,NA,NA,NA,"Y"
"Scirtothrips aurantii",NA,NA,NA,NA,"N"
"Scirtothrips perseae",NA,NA,NA,NA,"Y"
"Bryophyllum proliferum",NA,NA,NA,NA,"N"
"Ascidiella aspersa",NA,NA,"Negative",NA,"N"
"Acridotheres fuscus","Negative",NA,NA,NA,"N"
"myxoma virus","exclude","exclude","exclude","exclude","exclude"
"Nipah virus","exclude","exclude","exclude","exclude","exclude"
"Kalanchoe beharensis",NA,NA,NA,NA,"N"
"Centratherum punctatum",NA,NA,NA,NA,"N"
"Cichorium endivia",NA,NA,NA,NA,"N"
"Piscirickettsia salmonis","exclude","exclude","exclude","exclude","exclude"
"rabies virus","exclude","exclude","exclude","exclude","exclude"
"Theileria parva","exclude","exclude","exclude","exclude","exclude"
"theileriosis",NA,NA,NA,NA,"N"
"Salmonella abortusovis","exclude","exclude","exclude","exclude","exclude"
"Salmonella pullorum","exclude","exclude","exclude","exclude","exclude"
"Blechnum appendiculatum",NA,NA,NA,NA,"N"
"Pterolepis glomerata",NA,NA,NA,NA,"N"
"Verbena litoralis",NA,NA,NA,NA,"N"
"Anolis wattsi",NA,NA,NA,NA,"N"
"Solanum americanum",NA,NA,NA,NA,"Y"
"Cronartium kamtschaticum",NA,NA,NA,NA,"Y"
"Mycosphaerella populorum",NA,NA,NA,NA,"Y"
"enzootic abortion of ewes",NA,NA,NA,NA,"N"
"equine influenza",NA,NA,NA,NA,"N"
"Dahlia imperialis",NA,NA,NA,NA,"N"
"Tetropium castaneum",NA,"None","None, None","None","Y"
"Xylosandrus ater",NA,NA,NA,NA,"Y"
"Xylosandrus discolor",NA,"Negative","None, None","None","Y"
"Xylosandrus mutilatus",NA,NA,NA,"None","Y"
"Zosterops japonicus",NA,NA,NA,NA,"N"
"Carijoa riisei",NA,NA,NA,NA,"N"
"Ipomoea indica",NA,NA,NA,"Positive","N"
"Gerwasia imperialis",NA,NA,NA,"Negative","Y"
"Gerwasia rosae",NA,NA,NA,"Negative","Y"
"Gerwasia rubi",NA,NA,NA,"Negative","Y"
"Hamaspora sinica var. sinica",NA,NA,NA,"Negative","Y"
"Phragmidium rosae-multiflorae",NA,NA,NA,"Negative","Y"
"Ipomoea nil",NA,NA,NA,NA,"N"
"Heliocarpus americanus",NA,NA,NA,NA,"N"
"Hemiberlesia pitysophila",NA,NA,NA,NA,"N"
"Phyllorhiza punctata",NA,NA,"Negative",NA,"N"
"Radumeris tasmaniensis",NA,NA,NA,NA,"N"
"Solenopsis papuana",NA,NA,NA,NA,"N"
"Tubastraea coccinea",NA,NA,NA,NA,"N"
"Ophiostoma longicollum",NA,"Negative",NA,NA,"Y"
"Justicia pectoralis",NA,NA,NA,"Positive","N"
"Myiopsitta monachus",NA,NA,NA,NA,"N"
"Monopterus albus",NA,NA,NA,NA,"N"
